LAM,Th_P90,Th_P90_corr,Th_P0,Th_P0_corr,Th_UnPol,Th_UnPol_corr,Lab_P90,Lab_P90_corr,Lab_P0,Lab_P0_corr,Lab_Unpol,Lab_Unpol_corr,,V-Arm
0.5249,0.9245,0.476669391172516,0.8677,0.447383483742988,0.8961,0.462026437457752,0.8747,0.4509926624755,0.8209,0.423253545931335,0.8478,0.437123104203418,,0.515596961787471
0.525,0.9241,0.476463152387802,0.867,0.447022565869737,0.8956,0.461768638976859,0.8743,0.450786423690785,0.8203,0.422944187754262,0.8473,0.436865305722524,,0.515596961787471
0.5251,0.9237,0.476256913603087,0.8663,0.446661647996486,0.895,0.461459280799786,0.8739,0.450580184906071,0.8196,0.422583269881011,0.8468,0.43660750724163,,0.515596961787471
0.5252,0.9234,0.47610223451455,0.8656,0.446300730123234,0.8945,0.461201482318892,0.8735,0.450373946121356,0.8189,0.42222235200776,0.8462,0.436298149064558,,0.515596961787471
0.5253,0.9229,0.475844436033657,0.8649,0.445939812249983,0.8939,0.46089212414182,0.8731,0.45016770733664,0.8182,0.421861434134508,0.8457,0.436040350583664,,0.515596961787471
0.5254,0.9225,0.475638197248942,0.8642,0.445578894376732,0.8934,0.460634325660926,0.8727,0.449961468551926,0.8175,0.421500516261257,0.8451,0.435730992406591,,0.515596961787471
0.5255,0.9221,0.475431958464227,0.8635,0.445217976503481,0.8928,0.460324967483854,0.8723,0.449755229767211,0.8168,0.421139598388006,0.8445,0.435421634229519,,0.515596961787471
0.5256,0.9217,0.475225719679512,0.8628,0.44485705863023,0.8922,0.460015609306781,0.8718,0.449497431286317,0.8161,0.420778680514755,0.8439,0.435112276052446,,0.515596961787471
0.5257,0.9212,0.474967921198618,0.862,0.4444445810608,0.8916,0.459706251129709,0.8713,0.449239632805423,0.8153,0.420366202945325,0.8433,0.434802917875374,,0.515596961787471
0.5258,0.9208,0.474761682413903,0.8613,0.444083663187548,0.891,0.459396892952636,0.8708,0.448981834324529,0.8146,0.420005285072073,0.8427,0.434493559698301,,0.515596961787471
0.5259,0.9203,0.474503883933009,0.8606,0.443722745314297,0.8904,0.459087534775564,0.8703,0.448724035843636,0.8138,0.419592807502644,0.8421,0.434184201521229,,0.515596961787471
0.526,0.9198,0.474246085452115,0.8598,0.443310267744867,0.8898,0.458778176598491,0.8698,0.448466237362742,0.813,0.419180329933213,0.8414,0.433823283647978,,0.515596961787471
0.5261,0.9193,0.473988286971222,0.8591,0.442949349871616,0.8892,0.458468818421419,0.8692,0.448156879185669,0.8122,0.418767852363784,0.8407,0.433462365774726,,0.515596961787471
0.5262,0.9188,0.473730488490328,0.8583,0.442536872302186,0.8885,0.458107900548168,0.8686,0.447847521008597,0.8114,0.418355374794354,0.84,0.433101447901475,,0.515596961787471
0.5263,0.9183,0.473472690009434,0.8575,0.442124394732756,0.8879,0.457798542371095,0.868,0.447538162831524,0.8106,0.417942897224924,0.8393,0.432740530028224,,0.515596961787471
0.5264,0.9177,0.473163331832362,0.8568,0.441763476859505,0.8873,0.457489184194023,0.8674,0.447228804654452,0.8098,0.417530419655494,0.8386,0.432379612154973,,0.515596961787471
0.5265,0.9172,0.472905533351468,0.856,0.441350999290075,0.8866,0.457128266320771,0.8668,0.446919446477379,0.8089,0.417066382389885,0.8379,0.432018694281722,,0.515596961787471
0.5266,0.9167,0.472647734870574,0.8552,0.440938521720645,0.8859,0.45676734844752,0.8662,0.446610088300307,0.8081,0.416653904820455,0.8371,0.431606216712292,,0.515596961787471
0.5267,0.9161,0.472338376693502,0.8544,0.440526044151215,0.8852,0.456406430574269,0.8655,0.446249170427056,0.8072,0.416189867554846,0.8364,0.43124529883904,,0.515596961787471
0.5268,0.9155,0.472029018516429,0.8536,0.440113566581785,0.8845,0.456045512701018,0.8649,0.445939812249983,0.8063,0.415725830289238,0.8356,0.43083282126961,,0.515596961787471
0.5269,0.915,0.471771220035536,0.8527,0.439649529316176,0.8839,0.455736154523945,0.8642,0.445578894376732,0.8054,0.415261793023629,0.8348,0.43042034370018,,0.515596961787471
0.527,0.9144,0.471461861858463,0.8519,0.439237051746746,0.8831,0.455323676954515,0.8635,0.445217976503481,0.8045,0.41479775575802,0.834,0.43000786613075,,0.515596961787471
0.5271,0.9138,0.471152503681391,0.8511,0.438824574177316,0.8824,0.454962759081264,0.8628,0.44485705863023,0.8036,0.414333718492411,0.8332,0.42959538856132,,0.515596961787471
0.5272,0.9132,0.470843145504318,0.8502,0.438360536911707,0.8817,0.454601841208013,0.8621,0.444496140756978,0.8026,0.413818121530624,0.8323,0.429131351295712,,0.515596961787471
0.5273,0.9126,0.470533787327246,0.8494,0.437948059342278,0.881,0.454240923334762,0.8613,0.444083663187548,0.8017,0.413354084265015,0.8315,0.428718873726282,,0.515596961787471
